frame.time_epoch,frame.time_delta,frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,label
"1765647569.075999451","0.001765274","98","1",,,,,0
"1765647570.074536033","0.998536582","98","1",,,,,0
"1765647570.077106292","0.002570259","98","1",,,,,0
"1765647571.076696187","0.999589895","98","1",,,,,0
"1765647571.078871238","0.002175051","98","1",,,,,0
"1765647572.078677154","0.999805916","98","1",,,,,0
"1765647572.080085951","0.001408797","98","1",,,,,0
"1765647573.081298787","1.001212836","98","1",,,,,0
"1765647573.082746204","0.001447417","98","1",,,,,0
"1765647574.083834934","1.001088730","98","1",,,,,0
"1765647574.085512973","0.001678039","98","1",,,,,0
"1765647575.085421758","0.999908785","98","1",,,,,0
"1765647575.086811432","0.001389674","98","1",,,,,0
"1765647576.086604607","0.999793175","98","1",,,,,0
"1765647576.088029905","0.001425298","98","1",,,,,0
"1765647577.089156112","1.001126207","98","1",,,,,0
"1765647577.090898946","0.001742834","98","1",,,,,0
"1765647578.076965339","0.986066393","60",,,,,,0
"1765647578.076982534","0.000017195","42",,,,,,0
"1765647578.090093391","0.013110857","98","1",,,,,0
"1765647578.091572446","0.001479055","98","1",,,,,0
"1765647579.092249705","1.000677259","98","1",,,,,0
"1765647579.094274735","0.002025030","98","1",,,,,0
"1765647580.094501610","1.000226875","98","1",,,,,0
"1765647580.096842656","0.002341046","98","1",,,,,0
"1765647581.096261950","0.999419294","98","1",,,,,0
"1765647581.098239681","0.001977731","98","1",,,,,0
"1765647582.097839162","0.999599481","98","1",,,,,0
"1765647582.099506962","0.001667800","98","1",,,,,0
"1765647583.099570971","1.000064009","98","1",,,,,0
"1765647583.101533117","0.001962146","98","1",,,,,0
"1765647583.118102069","0.016568952","42",,,,,,0
"1765647583.119753936","0.001651867","60",,,,,,0
"1765647584.101676941","0.981923005","98","1",,,,,0
"1765647584.102850922","0.001173981","98","1",,,,,0
"1765647585.104007164","1.001156242","98","1",,,,,0
"1765647585.106014426","0.002007262","98","1",,,,,0
"1765647586.105982326","0.999967900","98","1",,,,,0
"1765647586.108066523","0.002084197","98","1",,,,,0
"1765647587.107336653","0.999270130","98","1",,,,,0
"1765647587.109200191","0.001863538","98","1",,,,,0
"1765647588.108823858","0.999623667","98","1",,,,,0
"1765647588.110657149","0.001833291","98","1",,,,,0
"1765647589.110065492","0.999408343","98","1",,,,,0
"1765647589.111557649","0.001492157","98","1",,,,,0
"1765647590.112757187","1.001199538","98","1",,,,,0
"1765647590.114885473","0.002128286","98","1",,,,,0
"1765647591.113901049","0.999015576","98","1",,,,,0
"1765647591.115447426","0.001546377","98","1",,,,,0
"1765647592.116382565","1.000935139","98","1",,,,,0
"1765647592.118265093","0.001882528","98","1",,,,,0
"1765647593.117472290","0.999207197","98","1",,,,,0
"1765647593.118894552","0.001422262","98","1",,,,,0
