frame.time_epoch,frame.time_delta,frame.time_relative,frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,tcp.stream,tcp.window_size,label
"1766001150.604104650","0.000019004","1163.780082767","66","6","37940","80","0x0010","0","56","64000",0
"1766001150.615405787","0.011301137","1163.791383904","74","6","37946","80","0x0002","0","57","64240",0
"1766001150.618019600","0.002613813","1163.793997717","74","6","80","37946","0x0012","0","57","5792",0
"1766001150.618064882","0.000045282","1163.794042999","66","6","37946","80","0x0010","0","57","64256",0
"1766001150.619001638","0.000936756","1163.794979755","189","6","37946","80","0x0018","123","57","64256",0
"1766001150.619519185","0.000517547","1163.795497302","66","6","80","37946","0x0010","0","57","5888",0
"1766001150.634281763","0.014762578","1163.810259880","1190","6","80","37946","0x0018","1124","57","5888",0
"1766001150.634352574","0.000070811","1163.810330691","66","6","37946","80","0x0010","0","57","66560",0
"1766001150.635602458","0.001249884","1163.811580575","66","6","37946","80","0x0011","0","57","66560",0
"1766001150.637433767","0.001831309","1163.813411884","66","6","80","37946","0x0011","0","57","5888",0
"1766001150.637457465","0.000023698","1163.813435582","66","6","37946","80","0x0010","0","57","66560",0
"1766001151.246406934","0.608949469","1164.422385051","74","6","37958","80","0x0002","0","58","64240",0
"1766001151.250203403","0.003796469","1164.426181520","74","6","80","37958","0x0012","0","58","5792",0
"1766001151.250239900","0.000036497","1164.426218017","66","6","37958","80","0x0010","0","58","64256",0
"1766001151.251249531","0.001009631","1164.427227648","138","6","37958","80","0x0018","72","58","64256",0
"1766001151.253307605","0.002058074","1164.429285722","66","6","80","37958","0x0010","0","58","5888",0
"1766001151.274760838","0.021453233","1164.450738955","1133","6","80","37958","0x0018","1067","58","5888",0
"1766001151.274793268","0.000032430","1164.450771385","66","6","37958","80","0x0010","0","58","63232",0
"1766001151.277456989","0.002663721","1164.453435106","66","6","37958","80","0x0011","0","58","64000",0
"1766001151.278979515","0.001522526","1164.454957632","66","6","80","37958","0x0011","0","58","5888",0
"1766001151.279001381","0.000021866","1164.454979498","66","6","37958","80","0x0010","0","58","64000",0
"1766001153.347047674","2.068046293","1166.523025791","74","6","37960","80","0x0002","0","59","64240",0
"1766001153.349484995","0.002437321","1166.525463112","74","6","80","37960","0x0012","0","59","5792",0
"1766001153.349540764","0.000055769","1166.525518881","66","6","37960","80","0x0010","0","59","64256",0
"1766001153.350779720","0.001238956","1166.526757837","138","6","37960","80","0x0018","72","59","64256",0
"1766001153.352532901","0.001753181","1166.528511018","66","6","80","37960","0x0010","0","59","5888",0
"1766001153.365685458","0.013152557","1166.541663575","1133","6","80","37960","0x0018","1067","59","5888",0
"1766001153.365728507","0.000043049","1166.541706624","66","6","37960","80","0x0010","0","59","63232",0
"1766001153.366936611","0.001208104","1166.542914728","66","6","37960","80","0x0011","0","59","64000",0
"1766001153.370419185","0.003482574","1166.546397302","66","6","80","37960","0x0011","0","59","5888",0
"1766001153.370440800","0.000021615","1166.546418917","66","6","37960","80","0x0010","0","59","64000",0
"1766001153.659615332","0.289174532","1166.835593449","74","6","37964","80","0x0002","0","60","64240",0
"1766001153.662027407","0.002412075","1166.838005524","74","6","80","37964","0x0012","0","60","5792",0
"1766001153.662057716","0.000030309","1166.838035833","66","6","37964","80","0x0010","0","60","64256",0
"1766001153.662990499","0.000932783","1166.838968616","138","6","37964","80","0x0018","72","60","64256",0
"1766001153.665222157","0.002231658","1166.841200274","66","6","80","37964","0x0010","0","60","5888",0
"1766001153.677071966","0.011849809","1166.853050083","1133","6","80","37964","0x0018","1067","60","5888",0
"1766001153.677108390","0.000036424","1166.853086507","66","6","37964","80","0x0010","0","60","63232",0
"1766001153.678458804","0.001350414","1166.854436921","66","6","37964","80","0x0011","0","60","64000",0
"1766001153.680016001","0.001557197","1166.855994118","66","6","80","37964","0x0011","0","60","5888",0
"1766001153.680037757","0.000021756","1166.856015874","66","6","37964","80","0x0010","0","60","64000",0
"1766001153.691328360","0.011290603","1166.867306477","74","6","37976","80","0x0002","0","61","64240",0
"1766001153.693607490","0.002279130","1166.869585607","74","6","80","37976","0x0012","0","61","5792",0
"1766001153.693635058","0.000027568","1166.869613175","66","6","37976","80","0x0010","0","61","64256",0
"1766001153.694771021","0.001135963","1166.870749138","189","6","37976","80","0x0018","123","61","64256",0
"1766001153.696072846","0.001301825","1166.872050963","66","6","80","37976","0x0010","0","61","5888",0
"1766001153.709260026","0.013187180","1166.885238143","1190","6","80","37976","0x0018","1124","61","5888",0
"1766001153.709326718","0.000066692","1166.885304835","66","6","37976","80","0x0010","0","61","66560",0
"1766001153.710760917","0.001434199","1166.886739034","66","6","37976","80","0x0011","0","61","66560",0
"1766001153.713323601","0.002562684","1166.889301718","66","6","80","37976","0x0011","0","61","5888",0
"1766001153.713356161","0.000032560","1166.889334278","66","6","37976","80","0x0010","0","61","66560",0
"1766001155.402343015","1.688986854","1168.578321132","74","6","37984","80","0x0002","0","62","64240",0
"1766001155.406347197","0.004004182","1168.582325314","74","6","80","37984","0x0012","0","62","5792",0
"1766001155.406392120","0.000044923","1168.582370237","66","6","37984","80","0x0010","0","62","64256",0
"1766001155.407671487","0.001279367","1168.583649604","138","6","37984","80","0x0018","72","62","64256",0
"1766001155.410276348","0.002604861","1168.586254465","66","6","80","37984","0x0010","0","62","5888",0
"1766001155.440595856","0.030319508","1168.616573973","1133","6","80","37984","0x0018","1067","62","5888",0
"1766001155.440643322","0.000047466","1168.616621439","66","6","37984","80","0x0010","0","62","63232",0
"1766001155.442548735","0.001905413","1168.618526852","66","6","37984","80","0x0011","0","62","64000",0
"1766001155.460321506","0.017772771","1168.636299623","66","6","80","37984","0x0011","0","62","5888",0
"1766001155.460352360","0.000030854","1168.636330477","66","6","37984","80","0x0010","0","62","64000",0
"1766001156.736417014","1.276064654","1169.912395131","74","6","37994","80","0x0002","0","63","64240",0
"1766001156.737732590","0.001315576","1169.913710707","74","6","80","37994","0x0012","0","63","5792",0
"1766001156.737896869","0.000164279","1169.913874986","66","6","37994","80","0x0010","0","63","64256",0
"1766001156.738507038","0.000610169","1169.914485155","138","6","37994","80","0x0018","72","63","64256",0
"1766001156.739461184","0.000954146","1169.915439301","66","6","80","37994","0x0010","0","63","5888",0
"1766001156.753280057","0.013818873","1169.929258174","1133","6","80","37994","0x0018","1067","63","5888",0
"1766001156.753316292","0.000036235","1169.929294409","66","6","37994","80","0x0010","0","63","63232",0
"1766001156.754363843","0.001047551","1169.930341960","66","6","37994","80","0x0011","0","63","64000",0
"1766001156.755832072","0.001468229","1169.931810189","66","6","80","37994","0x0011","0","63","5888",0
"1766001156.755851732","0.000019660","1169.931829849","66","6","37994","80","0x0010","0","63","64000",0
"1766001156.767015021","0.011163289","1169.942993138","74","6","37998","80","0x0002","0","64","64240",0
"1766001156.770635012","0.003619991","1169.946613129","74","6","80","37998","0x0012","0","64","5792",0
"1766001156.770669763","0.000034751","1169.946647880","66","6","37998","80","0x0010","0","64","64256",0
"1766001156.771532822","0.000863059","1169.947510939","189","6","37998","80","0x0018","123","64","64256",0
"1766001156.773071422","0.001538600","1169.949049539","66","6","80","37998","0x0010","0","64","5888",0
"1766001156.786697608","0.013626186","1169.962675725","1190","6","80","37998","0x0018","1124","64","5888",0
"1766001156.786762336","0.000064728","1169.962740453","66","6","37998","80","0x0010","0","64","66560",0
"1766001156.788025760","0.001263424","1169.964003877","66","6","37998","80","0x0011","0","64","66560",0
"1766001156.789983693","0.001957933","1169.965961810","66","6","80","37998","0x0011","0","64","5888",0
"1766001156.790005541","0.000021848","1169.965983658","66","6","37998","80","0x0010","0","64","66560",0
"1766001157.476197840","0.686192299","1170.652175957","74","6","38002","80","0x0002","0","65","64240",0
"1766001157.477812525","0.001614685","1170.653790642","74","6","80","38002","0x0012","0","65","5792",0
"1766001157.478011441","0.000198916","1170.653989558","66","6","38002","80","0x0010","0","65","64256",0
"1766001157.478738444","0.000727003","1170.654716561","138","6","38002","80","0x0018","72","65","64256",0
"1766001157.481215580","0.002477136","1170.657193697","66","6","80","38002","0x0010","0","65","5888",0
